customer_id,purchase_date,channel,age,basket_value,quantity,email,city,note
1043,2024-09-23,Mobile ,50,20.730943771250146,3 pcs,user9598@mail.test,wenzhou,★ loyal ★
1056,2024-09-08,Mobile ,30,,,user1357@example.com,WZ,promo#2024
1050,2024/09/28,WEB,16,35.78059592617821,6,user8431@example.com,Wenzhou,
1015,2024/09/28,WEB,18,60.76571864990895,2, USER5218@EXAMPLE.COM ,, VIP 
1016,NaT,,23,¥7.71,6,user4995@example.com,Shaoxing,  
1001,09-05-2024,,34,,6,user2535@EXAMPLE.com,Wenzhou,RETURNS??
1056,2024-09-04,Mobile ,17,$21.21,,user1647@EXAMPLE.com,Wenzhou,  
1047,09-11-2024,,65,42.880269245920424,3,user5064@mail.test, HZ ,
1054,2024-09-13,,55,47.559830897627016,6,user4895@ gmail.com, HZ ,RETURNS??
1031,2024/09/03,Mobile ,36,37.1510112161925,2,user9811@EXAMPLE.com,Wenzhou,★ loyal ★
1060,2024-09-07,store,70,22.41391099661471,1,user9243@ gmail.com,Shaoxing,
1032,09-27-2024,Mobile ,28,23.519954589444623,6,user8151@ gmail.com,WZ,promo#2024
1037,2024-09-21,mobile,67,62.565129733351164,4,user7511@EXAMPLE.com,wenzhou,
1011,2024-09-15,Mobile ,61,78.49803879131842,3,user3325@EXAMPLE.com,Shaoxing,coupon-10%
1037,"Sept 12, 2024",WEB,45,7.174605600236897,,user2106@ gmail.com,WZ,
1019,2024-09-12,,52,15.057158612075913,4,user3862@ gmail.com, HZ ,学生优惠 
1048,2024-09-05,,52,¥91.6,3,user2050@mail.test,Sx,
1034,2024-09-13,Store,68,144.2672832621603,3,user6389@EXAMPLE.com,Sx,★ loyal ★
1043,09-07-2024,Mobile ,-1,19.38468244248223,3,user9820@mail.test, HZ ,new-user
1014,2024/09/21,,28,$26.41,1,user1159@ gmail.com,Shaoxing,promo#2024
1058,2024/09/21,,63,"1,155",4,user1095@ gmail.com,WZ,new-user
1060,09-18-2024,Web  ,150,6.794490922586812,2,user6644@example.com,Hangzhou,学生优惠 
1004,2024-09-15,Web  ,66,21.95333401911971,1,user5681@example.com,,coupon-10%
1049,2024/09/08,Store,56,38.530595207187254,,user5824@EXAMPLE.com,WZ,promo#2024
1006,"Sept 14, 2024",Store,44,24.918836057846917,6,user6288@ gmail.com,WZ, VIP 
1009,2024-09-13,Mobile ,61,¥90.69,2,user3282@EXAMPLE.com,,  
1029,"Sept 24, 2024",WEB,74,18.478542542736765,6,user8777@ gmail.com,Hangzhou, VIP 
1014,2024/09/07,,23,12.067216814279028,7,user6630@example.com,WZ,学生优惠 
1018,2024-09-09,,34,9.405287456590457,1,user4974@mail.test,Wenzhou,
1029,"Sept 24, 2024",WEB,74,18.478542542736765,6,user8777@ gmail.com,Hangzhou, VIP 
1007,2024/09/10,Web  ,34,34.48758457733396,3 pcs,user2395@ gmail.com,Hangzhou,coupon-10%
1006,09-26-2024,Store,71,5.426015331894508,6,user3035@mail.test,,学生优惠 
1044,09-26-2024,Store,60,2.939294763376052,1,user5918@ gmail.com,Wenzhou,★ loyal ★
1017,2024/09/27,Mobile ,52,67.28420269105558,6,user2374@example.com,Sx,学生优惠 
1032,09-03-2024,,35,8.365295731221229,3 pcs,user8414@mail.test,Sx,★ loyal ★
1057,09-04-2024,,48,91.83218226042013,7,user2004@EXAMPLE.com,wenzhou,promo#2024
1010,2024/09/14,Mobile ,65,10.243136022119812,4,user9439@mail.test,wenzhou,学生优惠 
1054,2024-09-13,Store,68,37.268931203474914,4,user5904@mail.test,Wenzhou,promo#2024
1019,2024-09-05,WEB,44,648,2,user1788@ gmail.com,Wenzhou,RETURNS??
1025,2024-09-19,WEB,65,36.2962879396856,5,,Sx,★ loyal ★
1009,2024/09/21,WEB,19,37.36831133758631,2, USER8884@EXAMPLE.COM ,Wenzhou,RETURNS??
1010,NaT,,150,47.922141182727565,3 pcs,user7846@example.com,WZ,学生优惠 
1051,2024-09-07,Web  ,70,6.495842361565634,7,user8293@example.com,Hangzhou,promo#2024
1012,2024-09-25,Mobile ,16,,two,user3444@EXAMPLE.com,wenzhou,
1013,2024-09-01,Web  ,19,37.73879593883602,7,user1053@EXAMPLE.com, HZ ,★ loyal ★
1002,"Sept 16, 2024",Mobile ,55,5.5454850159423295,7,user1510@EXAMPLE.com,wenzhou,★ loyal ★
1020,2024-09-04,Store,53,10.355116129622408,4,user8704@ gmail.com,Sx, VIP 
1007,2024-09-14,WEB,64,2740,6,user2659@example.com,,学生优惠 
1018,2024-09-27,,36,68.56802731484544,4,user8182@example.com,Sx,学生优惠 
1023,"Sept 19, 2024",Store,45,81.9650051880254,6,user2442@example.com,,  
1028,"Sept 10, 2024",mobile,39,8.815938417118332,4,user7461@EXAMPLE.com,Shaoxing,promo#2024
1041,"Sept 24, 2024",WEB,71,47.24373999363908,4,user6001@example.com,wenzhou,学生优惠 
1029,"Sept 20, 2024",Mobile ,72,34.542019919445096,7,user9429@mail.test,Wenzhou,学生优惠 
